L1	7.3046
L2	50.3018
L3	188.679
L4	9.09091
L5	-157.729
L6	55.4324
L7	-157.729
L8	-84.1751
L9	17.0503
L10	-84.1751
L11	-121.065
L12	23.5627
L13	-121.065
L14	-55.7103
L15	20.1654
L16	-55.7103
L17	104.167
L18	104.167
L19	-245.098
L20	23.872
L21	-163.399
L22	14.2857
L23	50
L24	12.6502
L25	12.6502
L26	138.313
L27	80.3859
L28	80.3859
L29	32.5309
L30	97.561
L31	97.561
L32	84.1043
L33	102.145
L34	53.0786
L35	186.567
L36	53.7346
L37	59.952
L38	628.931
L39	628.931
L40	23.2775
L41	89.6057
L42	89.6057
L43	29.2227
L44	27.2554
L45	273.224
L46	170.648
L47	63.1712
L48	63.1712
L49	29.8864
L50	26.3158
L51	21.3812
L52	29.2227
L53	230.415
L54	103.413
L55	103.413
L56	102.987
L57	102.987
L58	254.453
L59	254.453
L60	254.453
L61	44.287
L62	30.2663
L63	71.1744
L64	48.3325
L65	43.1779
L66	50
L67	121.951
L68	121.951
L69	763.359
L70	862.069
L71	3333.33
L72	3333.33
L73	221.729
L74	224.215
L75	70.8215
L76	41.5282
L77	41.511
L78	135.685
L79	-79.1766
L80	96.5251
L81	72.3589
L82	-116.55
L83	420.168
L84	78.9889
L85	-79.1766
L86	70.028
L87	-79.1766
L88	66.5779
L89	78.9889
L90	-79.1766
L91	70.028
L92	-79.1766
L93	70.7714
L94	18.6706
L95	-37.4953
L96	-100
L97	51.2295
L98	-100
L99	47.1921
L100	-100
L101	50.3778
L102	68.0272
L103	77.101
L104	-100.2
L105	42.7716
L106	-150.15
L107	-100.2
L108	42.7716
L109	-150.15
L110	-89.2857
L111	29.3341
L112	-89.2857
L113	-138.889
L114	47.5737
L115	-277.778
L116	14.9745
L117	15.2905
L118	15.0557
L119	3.64924
L120	5.90388
L121	9.90001
L122	10.7898
L123	4.88759
L124	8.78657
L125	6.20887
L126	-132.45
L127	17.4856
L128	-75.1315
L129	-91.0747
L130	27.4424
L131	62.5
L132	-100.2
L133	51.6262
L134	47.9157
L135	47.9157
L136	88.8889
L137	88.8889
L138	32.2581
L139	35.9842
L140	70.6714
L141	110.497
L142	78.125
L143	218.818
L144	107.527
L145	132.802
L146	133.333
L147	27.4048
L148	29.4204
L149	38.7597
L150	14.2167
L151	78.7402
L152	25.3165
L153	18.5219
L154	44.2478
L155	94.3396
L156	30.1205
L157	44.4444
L158	42.0168
L159	11.3895
L160	16.6113
L161	18.622
L162	58.1395
L163	26.738
L164	26.8817
L165	29.4118
L166	28.6533
L167	10.3627
L168	25.5102
L169	41.841
L170	13.5135
L171	-138.889
L172	42.7716
L173	-138.889
L174	-115.741
L175	40.4858
L176	-138.889
L177	-100
L178	30.9598
L179	-100
L180	-106.952
L181	37.6081
L182	-106.952
L183	-105.932
L184	37.5657
L185	-106.952
L186	-106.952
L187	39.7298
L188	-119.048
L189	243.902
L190	39.6197
L191	39.6197
L192	84.246
L193	84.246
L194	37.8788
L195	47.3934
L196	33.7041
L197	33.7041
L198	-37.4953
L199	42.1408
L200	14.8588
L201	40.8163
L202	40.8163
L203	22.9358
L204	18.5219
L205	18.5219
L206	18.5219
L207	39.6197
L208	34.65
L209	34.65
L210	34.65
L211	34.65
L212	34.65
L213	34.65
L214	34.65
L215	34.65
L216	34.65
L217	34.65
L218	34.65
L219	34.65
L220	34.65
L221	34.65
L222	34.65
L223	34.65
L224	34.65
L225	34.65
L226	34.65
L227	34.65
L228	34.65
L229	34.65
L230	34.65
L231	34.65
L232	34.65
L233	34.65
L234	34.65
L235	34.65
L236	34.65
L237	34.65
L238	34.65
L239	34.65
L240	34.65
L241	34.65
L242	34.65
L243	34.65
L244	34.65
L245	34.65
L246	34.65
L247	34.65
L248	34.65
L249	34.65
L250	34.65
L251	34.65
L252	34.65
L253	78.7402
L254	78.7402
L255	34.65
L256	34.65
L257	34.65
L258	34.65
L259	34.65
L260	34.65
L261	34.65
L262	34.65
L263	34.65
L264	77.101
L265	78.7402
L266	78.7402
L267	78.7402
L268	78.7402
L269	78.7402
L270	78.7402
L271	78.7402
L272	34.65
L273	78.7402
L274	78.7402
L275	78.7402
L276	78.7402
L277	78.7402
L278	78.7402
L279	78.7402
L280	78.7402
L281	17.325
L282	78.7402
L283	78.7402
L284	78.7402
L285	78.7402
L286	78.7402
L287	34.65
L288	78.7402
L289	78.7402
L290	78.7402
L291	78.7402
L292	78.7402
L293	78.7402
L294	66.6667
L295	68.4932
L296	202.02
L297	57.8035
L298	166.667
L299	90.9091
L300	90.9091
L301	169.492
L302	72.4638
L303	71.9424
L304	150.15
L305	100
L306	666.667
L307	500
L308	42.7716
L309	192.308
L310	200
L311	138.889
L312	400
L313	454.545
L314	33.4448
L315	84.674
L316	136.054
L317	266.667
L318	96.7118
L319	43.8404
L320	57.4713
L321	223.214
L322	55.0964
L323	80
L324	57.4713
L325	84.0336
L326	102.041
L327	87.0322
L328	87.0322
L329	87.0322
L330	66.1376
L331	102.041
L332	68.2594
L333	200
L334	67.0691
L335	67.0691
L336	75.188
L337	74.6269
L338	72.1501
L339	72.1501
L340	144.3
L341	39.4477
L342	72.1501
L343	8.71612
L344	42.0168
L345	869.565
L346	80.7754
L347	172.414
L348	51.2821
L349	55.2486
L350	70.922
L351	217.391
L352	193.798
L353	97.4659
L354	200
L355	200
L356	200
L357	200
L358	200
L359	200
L360	200
L361	57.4713
L362	57.4713
L363	57.4713
L364	57.4713
L365	57.4713
L366	33.4448
L367	57.4713
L368	57.4713
L369	57.4713
L370	33.4448
L371	33.4448
L372	68.2594
L373	68.2594
L374	68.2594
L375	17.325
